Клиент: Ник, Email: fhsdsdh@mail.ru, Сообщение: Хочу пожаловаться на вашего мастера Гуса. Плохо сделал прическу<br>
Клиент: , Email: , Сообщение: gdfgdf<br>
Клиент: fgdg, Email: sfsdf@mail.ru, Сообщение: <br>
Клиент: fgdg, Email: sfsdf@mail.ru, Сообщение: <br>
Клиент: dsffsd, Email: , Сообщение: ewrsdfsdfdsfdsf<br>
Клиент: dsffsd, Email: anisimov06@gmail.com, Сообщение: <br>
Клиент: dsffsd, Email: anisimov06@gmail.com, Сообщение: dasdsad<br>
Клиент: Axelon06, Email: anisimov06@gmail.com, Сообщение: gdfgdf<br>
Клиент: Admin, Email: anisimov06@gmail.com, Сообщение: rsfsdfsdfsd<br>
Клиент: Admin, Email: anisimov06@gmail.com, Сообщение: rsfsdfsdfsd<br>
Клиент: Admin, Email: anisimov06@gmail.com, Сообщение: rsfsdfsdfsd<br>
Клиент: Axelon06, Email: 23423423@ya.ru, Сообщение: fgdgdfg<br>
Клиент: Axelon06, Email: 23423423@ya.ru, Сообщение: fgdgdfg<br>
Клиент: admin, Email: esre@gmil.com, Сообщение: gdfgdfg<br>
Клиент: rtertert, Email: ed@m.ru, Сообщение: rttertet<br>
Клиент: rtertert, Email: ed@m.ru, Сообщение: rttertet<br>
Клиент: rttert, Email: 2323@mail.ru, Сообщение: hujghjghj<br>
